City,Cloudiness (%),Country,Date,Humidity (%),Latitude,Longitude,Max Temp (C°),Wind Speed (kmph)
Ust'-Omchug,34,RU,1588959294,95,61.15,149.63,-7.03,0.74
Cherskiy,22,RU,1588959294,93,68.75,161.3,-3.42,2.35
Lüderitz,0,NA,1588959295,93,-26.65,15.16,13.0,4.6
Clyde River,75,CA,1588959295,85,70.47,-68.59,-7.0,9.3
Caravelas,100,BR,1588959295,82,-17.71,-39.25,21.71,5.76
Berlevåg,40,NO,1588959042,64,70.86,29.09,2.0,3.6
Kidal,0,ML,1588959296,7,18.44,1.41,36.64,4.69
Norman Wells,5,CA,1588959296,64,65.28,-126.83,3.0,5.7
Sayyan,4,YE,1588959297,33,15.17,44.32,17.91,4.28
Pinheiro Machado,1,BR,1588959297,47,-31.58,-53.38,18.33,2.39
Bodden Town,40,KY,1588959293,83,19.28,-81.25,29.0,7.2
Saint-Philippe,40,RE,1588959297,78,-21.36,55.77,23.0,3.1
Mossamedes,0,AO,1588959120,46,-15.2,12.15,28.56,1.97
Dingle,81,PH,1588959298,79,11.0,122.67,26.28,2.51
Castro,13,BR,1588959298,45,-24.79,-50.01,18.01,2.14
Airai,5,TL,1588959298,75,-8.93,125.41,13.38,1.37
Margate,88,GB,1588959108,49,51.38,1.39,20.0,1.34
Hong Kong,6,HK,1588959299,82,22.29,114.16,28.33,1.79
Sampit,90,ID,1588959299,97,-2.53,112.95,24.47,0.71
Kwakoa,88,TZ,1588959299,83,-3.77,37.72,21.14,1.59
Oranjemund,0,NA,1588959300,73,-28.55,16.43,16.26,3.25
Torbay,90,CA,1588959300,93,47.67,-52.73,6.11,10.3
Kavaratti,97,IN,1588959300,78,10.57,72.64,30.02,3.99
Yamoussoukro,75,CI,1588959301,52,6.82,-5.28,34.0,2.1
Oistins,20,BB,1588959251,62,13.07,-59.53,31.0,9.8
Fairbanks,75,US,1588959254,33,64.84,-147.72,15.0,6.2
Lincoln,1,US,1588959002,40,40.8,-96.67,11.11,6.2
Snezhnogorsk,75,RU,1588959302,79,69.19,33.25,3.0,1.0
Guerrero Negro,0,MX,1588959302,39,27.98,-114.06,25.64,2.0
Flinders,0,AU,1588959302,72,-34.58,150.86,19.44,1.34
Saint Paul Harbor,90,US,1588959302,87,57.79,-152.41,7.0,8.2
Bone,98,DE,1588959303,28,51.97,12.14,20.56,0.45
Uyemskiy,40,RU,1588959303,45,64.47,40.85,8.0,3.0
Udachny,76,RU,1588959303,66,66.42,112.4,-9.0,3.0
Huntsville,90,US,1588959304,93,34.73,-86.59,12.78,7.7
Tevriz,12,RU,1588959304,52,57.51,72.4,15.36,1.76
Mar del Plata,21,AR,1588959304,55,-38.0,-57.56,18.0,8.7
Constitución,100,CL,1588959304,58,-35.33,-72.42,18.47,3.06
Cloquet,1,US,1588959305,27,46.72,-92.46,5.0,5.7
Salalah,20,OM,1588959305,89,17.02,54.09,29.0,1.5
Portland,1,US,1588958777,28,45.52,-122.68,23.33,8.2
Severo-Kuril'sk,65,RU,1588959306,93,50.68,156.12,0.61,6.06
Belaya Gora,100,RU,1588959306,97,68.53,146.42,-2.93,3.68
Bellary,100,IN,1588959306,29,15.15,76.93,33.78,2.81
Plettenberg Bay,4,ZA,1588959307,90,-34.05,23.37,16.49,1.05
Yeppoon,40,AU,1588959307,82,-23.13,150.73,18.0,2.1
Saint-Joseph,40,RE,1588959307,78,-21.37,55.62,23.0,3.1
San Patricio,20,MX,1588959307,73,19.22,-104.7,25.0,3.17
Gualeguaychú,60,AR,1588959140,53,-33.01,-58.52,17.78,2.24
Bethel,90,US,1588959308,39,41.37,-73.41,10.0,4.1
Bonfim,93,BR,1588959308,59,3.08,-59.95,31.18,1.04
Concordia,14,AR,1588959308,52,-31.39,-58.02,18.0,3.1
Santa Maria,0,BR,1588959309,46,-29.68,-53.81,20.16,0.81
Beringovskiy,100,RU,1588959309,99,63.05,179.32,-0.63,3.31
Polis,20,CY,1588959309,72,35.04,32.43,20.0,2.1
Port Hardy,20,CA,1588959309,76,50.7,-127.42,11.0,1.5
Eyl,0,SO,1588959310,68,7.98,49.82,29.03,3.87
Saint-Augustin,100,CA,1588959310,98,51.23,-58.65,1.63,0.76
Sechura,17,PE,1588959310,54,-5.56,-80.82,28.19,5.09
San Cristobal,40,VE,1588959029,41,7.77,-72.22,34.0,10.3
Sørland,40,NO,1588959311,64,67.67,12.69,3.0,5.7
Talnakh,40,RU,1588959311,93,69.49,88.4,2.0,10.0
Collierville,90,US,1588959122,100,35.04,-89.66,15.56,2.1
Farmington,1,US,1588959284,9,36.73,-108.22,17.0,2.1
Xochihuehuetlán,0,MX,1588959312,27,17.92,-98.43,33.05,2.09
Chuzhou,49,CN,1588959312,89,32.32,118.3,18.89,1.34
College,75,US,1588959312,33,64.86,-147.8,15.0,5.1
Antalaha,15,MG,1588959312,82,-14.9,50.28,24.17,3.83
Mahébourg,20,MU,1588959313,94,-20.41,57.7,23.0,1.5
Pevek,0,RU,1588959313,91,69.7,170.31,-2.61,3.95
Krasnosel'kup,78,RU,1588959313,98,65.7,82.47,5.02,3.5
Yārāda,40,IN,1588959314,83,17.65,83.27,29.0,2.1
Korla,2,CN,1588959314,27,41.76,86.15,17.48,2.29
Mackenzie,1,CA,1588959315,57,55.3,-123.17,11.0,3.1
Mareeba,90,AU,1588959315,83,-17.0,145.43,22.0,4.1
Blagoveshchensk,80,RU,1588959192,87,50.27,127.53,7.0,1.0
Serra Talhada,82,BR,1588959181,46,-7.99,-38.3,30.51,4.66
Menongue,0,AO,1588959316,58,-14.66,17.69,16.76,1.93
Port-Gentil,75,GA,1588959316,94,-0.72,8.78,26.0,4.6
Ouésso,63,CG,1588959317,87,1.61,16.05,24.17,0.14
Igarka,100,RU,1588959317,98,67.47,86.58,3.49,3.69
Córdoba,1,AR,1588959317,33,-31.41,-64.18,24.44,2.1
Biak,50,ID,1588959318,80,-0.91,122.88,25.98,2.2
Saint George,1,US,1588959318,11,37.1,-113.58,24.44,2.6
Uddevalla,52,SE,1588959318,50,58.35,11.94,12.78,5.7
Ełk,63,PL,1588959318,83,53.83,22.36,10.38,0.55
Muli,80,MV,1588959319,77,2.92,73.57,29.7,6.16
Troitskoye,0,RU,1588959319,51,52.98,84.68,9.61,3.77
Andenes,100,NO,1588959320,80,69.31,16.12,1.0,2.6
Port Blair,100,IN,1588959320,76,11.67,92.75,29.03,1.92
Kamenka,100,RU,1588959320,67,51.32,42.77,14.44,2.56
Buraidah,75,SA,1588959320,28,26.33,43.98,34.0,6.7
Naze,75,JP,1588959321,88,28.37,129.48,22.0,4.6
Richards Bay,76,ZA,1588959321,82,-28.78,32.04,20.23,3.5
Nome,1,US,1588959321,45,64.5,-165.41,9.0,6.2
Youghal,20,IE,1588959322,82,51.95,-7.85,16.67,3.1
Nelson Bay,0,AU,1588959322,93,-32.72,152.15,16.67,3.92
Ilulissat,5,GL,1588959050,50,69.22,-51.1,1.0,5.1
Te Anau,65,NZ,1588959323,85,-45.42,167.72,8.73,1.21
Kutum,97,SD,1588959323,17,14.2,24.67,27.88,6.24
Quimper,70,FR,1588959323,72,48.0,-4.1,20.0,3.1
Tual,11,ID,1588959323,78,-5.67,132.75,28.21,8.5
Slave Lake,40,CA,1588959324,93,55.28,-114.77,5.0,5.1
Kisangani,61,CD,1588959324,89,0.52,25.2,23.32,0.96
Douglas,1,US,1588959324,37,41.3,-96.17,11.67,5.1
Sitka,75,US,1588959324,57,57.05,-135.33,11.0,3.1
Bengkulu,100,ID,1588959325,83,-3.8,102.27,25.18,2.03
Zyryanka,1,RU,1588959325,95,65.75,150.85,-3.64,2.68
Tila,10,MX,1588959325,48,17.4,-92.48,32.26,1.62
Leh,25,IN,1588959082,52,34.17,77.58,5.88,2.14
Port Lincoln,47,AU,1588959326,65,-34.73,135.87,11.95,11.66
Longyearbyen,75,SJ,1588959292,73,78.22,15.64,-3.0,4.1
Turaif,6,SA,1588959327,18,31.67,38.66,28.0,3.6
Bowen,90,AU,1588959327,93,-20.02,148.23,20.56,5.17
Tsimmerbude,12,RU,1588959327,71,54.67,20.13,11.0,5.0
St. George's,20,GD,1588959328,70,12.06,-61.75,30.0,10.3
Lompoc,1,US,1588959328,56,34.64,-120.46,26.11,2.0
Cedar City,1,US,1588959328,15,37.68,-113.06,14.0,3.1
Tilichiki,0,RU,1588959328,98,60.47,166.1,-6.33,4.57
Panguna,64,PG,1588959329,99,-6.32,155.48,20.2,0.74
Lorengau,97,PG,1588959330,79,-2.02,147.27,27.5,1.53
Agapovka,0,RU,1588959330,29,53.3,59.13,17.0,5.0
Guadalupe y Calvo,25,MX,1588959330,25,26.1,-106.97,23.43,2.38
Zhangaözen,93,KZ,1588959330,68,43.3,52.8,18.8,1.62
Sola,0,VU,1588959331,74,-13.88,167.55,26.14,5.54
Smithers,20,CA,1588959331,50,54.78,-127.17,13.0,2.6
Libreville,40,GA,1588959332,94,0.39,9.45,25.0,3.6
Lagoa,84,PT,1588959332,71,39.05,-27.98,16.01,12.01
Zabid,53,YE,1588959332,43,14.2,43.32,34.75,5.58
Ol'ga,100,RU,1588959332,56,43.74,135.29,12.88,1.69
Omboué,97,GA,1588959333,86,-1.57,9.26,26.68,2.17
Half Moon Bay,5,US,1588959333,68,37.46,-122.43,25.56,2.39
Sribne,97,UA,1588959333,84,50.66,32.92,8.25,4.5
Baturaja,100,ID,1588959333,95,-4.13,104.17,24.34,0.82
Bonthe,91,SL,1588959334,78,7.53,-12.51,29.13,4.93
Ardatov,100,RU,1588959334,96,55.24,43.1,12.51,2.35
Faanui,97,PF,1588959334,77,-16.48,-151.75,27.73,6.59
Vila do Maio,40,CV,1588959335,61,15.13,-23.22,26.0,9.8
Girov,30,RO,1588959335,58,46.95,26.52,14.44,2.24
Waingapu,9,ID,1588959335,80,-9.66,120.26,24.6,4.01
Río Gallegos,47,AR,1588959211,76,-51.62,-69.22,12.0,1.0
Sungai Penuh,100,ID,1588959193,90,-2.08,101.38,19.27,0.67
Alta Floresta,90,BR,1588959336,74,-9.88,-56.09,26.0,2.1
Røros,75,NO,1588959337,96,62.57,11.38,3.0,5.7
Petropavlovsk-Kamchatskiy,98,RU,1588959050,69,53.05,158.65,2.0,2.0
Jieshi,7,CN,1588959337,92,22.81,115.83,25.77,4.13
Onguday,0,RU,1588959337,63,50.75,86.15,7.77,0.6
Hannibal,1,US,1588959337,30,39.71,-91.36,13.89,5.1
Narsaq,40,GL,1588959338,50,60.92,-46.05,12.0,3.6
Ahmednagar,0,IN,1588959338,47,19.08,74.73,27.84,2.35
Freital,88,DE,1588959338,34,51.0,13.65,20.0,2.6
Pisco,16,PE,1588959153,69,-13.7,-76.22,23.0,3.1
Gizo Government Station,26,SB,1588959339,77,-8.1,156.84,27.88,2.94
Walker,75,US,1588959339,58,30.73,-95.57,29.44,7.7
Dafeng,54,CN,1588959340,81,23.45,108.59,26.65,2.55
Humaitá,85,BR,1588959340,51,-7.51,-63.02,30.47,1.69
Nālūt,99,LY,1588959340,11,30.33,10.85,32.88,4.14
Butterworth,40,MY,1588959340,94,5.4,100.36,26.0,2.1
Edd,14,ER,1588959340,55,13.93,41.69,33.62,8.44
Kathu,40,TH,1588959156,94,7.92,98.33,25.0,0.5
Valparaíso,90,CL,1588959304,100,-33.04,-71.63,15.0,2.6
Petatlán,40,MX,1588959341,55,17.52,-101.27,30.0,2.6
Melita,52,CA,1588959341,42,49.27,-101.0,8.89,0.45
Trairi,60,BR,1588959234,75,-3.28,-39.27,28.97,4.06
Nemuro,91,JP,1588959342,59,43.32,145.57,9.49,8.38
Mlonggo,25,ID,1588959342,82,-6.53,110.7,26.93,1.89
Bara,14,NG,1588959342,28,10.37,10.73,36.12,4.58
Port Montt,90,CL,1588959343,87,-41.47,-72.94,14.0,6.7
Fortuna,20,US,1588959343,87,40.6,-124.16,13.33,1.5
Posse,75,BR,1588959344,69,-14.09,-46.37,25.61,2.99
Marabá,75,BR,1588959344,70,-5.37,-49.12,31.0,1.5
Cam Ranh,20,VN,1588959344,89,11.92,109.16,30.0,2.6
Ovsyanka,0,RU,1588959345,86,55.96,92.55,1.0,1.01
Ahipara,25,NZ,1588959345,85,-35.17,173.17,12.62,2.4
Yuanping,66,CN,1588959345,82,38.72,112.76,13.39,0.49
Kamen'-Rybolov,100,RU,1588959345,84,44.75,132.04,9.67,3.24
Vung Tau,99,VN,1588959346,79,10.35,107.08,28.91,4.3
Lebanon,90,US,1588959346,82,36.21,-86.29,13.33,5.1
Aklavik,5,CA,1588959346,55,68.22,-135.01,3.0,4.1
Acaraú,93,BR,1588959347,77,-2.89,-40.12,29.26,3.12
Stános,0,GR,1588959347,77,38.8,21.17,18.0,4.1
San Roque,0,ES,1588959347,64,36.21,-5.38,22.0,3.6
Sokoto,21,NG,1588959347,14,13.06,5.24,37.15,0.48
Ambon City,5,ID,1588959348,96,-3.7,128.18,26.67,4.46
Keetmanshoop,0,NA,1588959348,13,-26.58,18.13,26.0,0.5
Chicama,5,PE,1588959348,78,-7.84,-79.15,22.0,6.7
Tuatapere,36,NZ,1588959349,83,-46.13,167.68,9.63,3.11
Kalmunai,49,LK,1588959080,77,7.42,81.82,27.95,1.17
Turukhansk,98,RU,1588959349,96,65.82,87.98,5.72,6.15
Sioux Lookout,40,CA,1588959349,43,50.1,-91.92,2.0,6.2
Mackay,90,AU,1588959350,94,-21.15,149.2,20.0,4.1
Avera,90,US,1588959350,40,33.19,-82.53,20.0,4.1
Bandarbeyla,4,SO,1588959350,72,9.49,50.81,28.59,4.74
San Fernando del Valle de Catamarca,0,AR,1588959350,59,-28.47,-65.79,24.44,3.06
Emerald,40,AU,1588959351,87,-23.53,148.17,16.0,2.09
Praia,40,CV,1588959165,61,14.92,-23.51,26.0,9.8
Kumul,0,CN,1588959351,25,42.8,93.45,15.89,1.85
Sri Aman,65,MY,1588959351,100,1.24,111.46,25.0,0.55
Ayan,100,RU,1588959352,99,56.45,138.17,-1.16,3.71
Zhuanghe,100,CN,1588959352,93,39.7,122.99,12.22,1.79
Lae,96,PG,1588959352,84,-6.72,146.98,24.29,2.67
Mumbwa,0,ZM,1588959352,60,-14.98,27.06,18.01,2.83
Harper,80,LR,1588959353,76,4.38,-7.72,28.77,3.88
Harbour Breton,80,CA,1588959353,87,47.48,-55.8,2.03,12.07
Acajutla,100,SV,1588959292,76,13.59,-89.83,28.89,0.89
Arrondissement du Havre,66,FR,1588959353,52,49.58,0.33,21.0,4.1
Port Shepstone,20,ZA,1588959353,73,-30.74,30.45,19.21,2.69
Kaupanger,75,NO,1588959354,80,61.18,7.24,4.0,16.5
Asău,92,RO,1588959354,58,46.43,26.4,11.67,0.31
Zilair,0,RU,1588959354,38,52.23,57.44,14.56,4.53
Pitimbu,75,BR,1588959355,66,-7.47,-34.81,30.0,4.6
Areosa,75,PT,1588959355,82,41.72,-8.86,16.67,2.6
Sambava,6,MG,1588959355,84,-14.27,50.17,24.95,5.0
Mahibadhoo,100,MV,1588959356,75,3.78,72.97,29.3,4.08
Progreso,40,MX,1588959356,41,21.28,-89.67,33.89,4.1
Wuhu,90,CN,1588959356,93,31.34,118.38,19.0,3.0
Laas,5,IT,1588959357,59,46.62,10.7,16.0,4.1
Boa Vista,75,BR,1588959357,70,2.82,-60.67,29.0,3.1
Hamilton,90,US,1588959108,87,39.18,-84.53,10.56,5.7
Villa María,29,AR,1588959357,40,-32.41,-63.24,22.22,2.68
Marsh Harbour,15,BS,1588959358,57,26.54,-77.06,23.63,5.23
Vilhena,11,BR,1588959358,64,-12.74,-60.15,24.0,4.1
Henties Bay,0,NA,1588959358,50,-22.12,14.28,20.91,2.65
Rome,90,US,1588959358,93,34.26,-85.16,12.22,3.6
Kaeo,1,NZ,1588959359,7,-35.1,173.78,8.33,0.89
Nikolo-Pavlovskoye,39,RU,1588959359,54,57.78,60.06,14.65,2.58
Frankfort,96,ZA,1588959359,37,-27.27,28.48,14.4,2.08
Youkounkoun,83,GN,1588959360,13,12.53,-13.13,41.46,1.92
Klichka,99,RU,1588959360,45,50.45,118.0,8.94,0.61
Klaksvík,82,FO,1588959360,65,62.23,-6.59,5.0,6.7
Seoul,90,KR,1588959361,77,37.57,126.98,15.0,5.7
Isangel,14,VU,1588959244,83,-19.55,169.27,23.81,8.82
Houma,75,US,1588959361,61,29.6,-90.72,30.0,4.1
Puerto Escondido,5,MX,1588959362,74,15.85,-97.07,31.0,5.1
Mt. Pleasant,40,US,1588959261,49,32.79,-79.86,22.22,7.2
Payo,100,ID,1588959362,95,-3.75,103.64,23.72,1.05
Hinton,100,CA,1588959362,79,53.4,-117.59,6.77,0.37
Elesbão Veloso,32,BR,1588959363,61,-6.2,-42.14,31.23,0.46
Honningsvåg,40,NO,1588959363,64,70.98,25.97,2.0,3.6
Saldanha,0,ZA,1588959363,44,-33.01,17.94,24.0,2.6
Río Cuarto,32,AR,1588959150,28,-33.13,-64.35,22.0,7.7
Esna,0,EG,1588959364,18,25.29,32.55,36.0,2.1
Moussoro,46,TD,1588959364,14,13.64,16.49,35.51,0.7
Tura,0,IN,1588959364,40,25.52,90.22,23.88,1.73
Hay River,20,CA,1588959364,69,60.82,-115.8,4.0,6.2
Meulaboh,100,ID,1588959365,91,4.14,96.13,24.37,1.95
Cidreira,22,BR,1588959365,61,-30.18,-50.21,18.45,2.58
Laguna,1,US,1588959081,33,38.42,-121.42,26.67,1.5
